data_somministrazione,vaccinazioni,booster,cum_vaccinazioni,cum_booster
2020-12-27,19,0,19,0
2020-12-28,2,0,21,0
2020-12-29,1,0,22,0
2020-12-30,6,0,28,0
2020-12-31,59,0,87,0
2021-01-01,22,0,109,0
2021-01-02,98,0,207,0
2021-01-03,73,0,280,0
2021-01-04,190,0,470,0
2021-01-05,230,0,700,0
2021-01-06,184,0,884,0
2021-01-07,277,0,1161,0
2021-01-08,320,0,1481,0
2021-01-09,235,0,1716,0
2021-01-10,142,0,1858,0
2021-01-11,264,0,2122,0
2021-01-12,260,0,2382,0
2021-01-13,381,0,2763,0
2021-01-14,467,0,3230,0
2021-01-15,290,0,3520,0
2021-01-16,202,0,3722,0
2021-01-17,3057,0,6779,0
2021-01-18,5206,0,11985,0
2021-01-19,1889,0,13874,0
2021-01-20,4652,0,18526,0
2021-01-21,20003,0,38529,0
2021-01-22,14201,0,52730,0
2021-01-23,33335,0,86065,0
2021-01-24,30792,0,116857,0
2021-01-25,64740,0,181597,0
2021-01-26,76503,0,258100,0
2021-01-27,64850,0,322950,0
2021-01-28,89302,0,412252,0
2021-01-29,94039,0,506291,0
2021-01-30,86579,0,592870,0
2021-01-31,57342,0,650212,0
2021-02-01,81877,0,732089,0
2021-02-02,82148,0,814237,0
2021-02-03,91198,0,905435,0
2021-02-04,95403,0,1000838,0
2021-02-05,90284,0,1091122,0
2021-02-06,63451,0,1154573,0
2021-02-07,32926,0,1187499,0
2021-02-08,40431,0,1227930,0
2021-02-09,32865,0,1260795,0
2021-02-10,28419,0,1289214,0
2021-02-11,20384,0,1309598,0
2021-02-12,16225,0,1325823,0
2021-02-13,7250,0,1333073,0
2021-02-14,2861,0,1335934,0
2021-02-15,6836,0,1342770,0
2021-02-16,6993,0,1349763,0
2021-02-17,10518,0,1360281,0
2021-02-18,9245,0,1369526,0
2021-02-19,8234,0,1377760,0
2021-02-20,5536,0,1383296,0
2021-02-21,2985,0,1386281,0
2021-02-22,6880,0,1393161,0
2021-02-23,7156,0,1400317,0
2021-02-24,9823,0,1410140,0
2021-02-25,14198,0,1424338,0
2021-02-26,17550,0,1441888,0
2021-02-27,13896,0,1455784,0
2021-02-28,9386,0,1465170,0
2021-03-01,26506,0,1491676,0
2021-03-02,33235,0,1524911,0
2021-03-03,44641,0,1569552,0
2021-03-04,50289,0,1619841,0
2021-03-05,55733,0,1675574,0
2021-03-06,41870,0,1717444,0
2021-03-07,22320,0,1739764,0
2021-03-08,50793,0,1790557,0
2021-03-09,53054,0,1843611,0
2021-03-10,58621,0,1902232,0
2021-03-11,63832,0,1966064,0
2021-03-12,65093,0,2031157,0
2021-03-13,51706,0,2082863,0
2021-03-14,35383,0,2118246,0
2021-03-15,73425,0,2191671,0
2021-03-16,74022,0,2265693,0
2021-03-17,83128,0,2348821,0
2021-03-18,81621,0,2430442,0
2021-03-19,81077,0,2511519,0
2021-03-20,64705,0,2576224,0
2021-03-21,47285,0,2623509,0
2021-03-22,69470,0,2692979,0
2021-03-23,75777,0,2768756,0
2021-03-24,90884,0,2859640,0
2021-03-25,89783,0,2949423,0
