data_somministrazione,delta_T,cum_vaccinazioni,cum_booster
2020-12-27,-1,20,0
2020-12-27,30,20,0
2020-12-27,90,20,0
2020-12-27,120,20,0
2020-12-27,180,20,0
2020-12-27,270,20,0
2020-12-28,-1,22,0
2020-12-28,30,22,0
2020-12-28,90,22,0
2020-12-28,120,22,0
2020-12-28,180,22,0
2020-12-28,270,22,0
2020-12-29,-1,23,0
2020-12-29,30,23,0
2020-12-29,90,23,0
2020-12-29,120,23,0
2020-12-29,180,23,0
2020-12-29,270,23,0
2020-12-30,-1,33,0
2020-12-30,30,33,0
2020-12-30,90,33,0
2020-12-30,120,33,0
2020-12-30,180,33,0
2020-12-30,270,33,0
2020-12-31,-1,110,0
2020-12-31,30,110,0
2020-12-31,90,110,0
2020-12-31,120,110,0
2020-12-31,180,110,0
2020-12-31,270,110,0
2021-01-01,-1,135,0
2021-01-01,30,135,0
2021-01-01,90,135,0
2021-01-01,120,135,0
2021-01-01,180,135,0
2021-01-01,270,135,0
2021-01-02,-1,278,0
2021-01-02,30,278,0
2021-01-02,90,278,0
2021-01-02,120,278,0
2021-01-02,180,278,0
2021-01-02,270,278,0
2021-01-03,-1,385,0
2021-01-03,30,385,0
2021-01-03,90,385,0
2021-01-03,120,385,0
2021-01-03,180,385,0
2021-01-03,270,385,0
2021-01-04,-1,621,0
2021-01-04,30,621,0
2021-01-04,90,621,0
2021-01-04,120,621,0
2021-01-04,180,621,0
2021-01-04,270,621,0
2021-01-05,-1,901,0
2021-01-05,30,901,0
2021-01-05,90,901,0
2021-01-05,120,901,0
2021-01-05,180,901,0
2021-01-05,270,901,0
2021-01-06,-1,1150,0
2021-01-06,30,1150,0
2021-01-06,90,1150,0
2021-01-06,120,1150,0
2021-01-06,180,1150,0
2021-01-06,270,1150,0
2021-01-07,-1,1473,0
2021-01-07,30,1473,0
2021-01-07,90,1473,0
2021-01-07,120,1473,0
2021-01-07,180,1473,0
2021-01-07,270,1473,0
2021-01-08,-1,1851,0
2021-01-08,30,1851,0
2021-01-08,90,1851,0
2021-01-08,120,1851,0
2021-01-08,180,1851,0
2021-01-08,270,1851,0
2021-01-09,-1,2133,0
2021-01-09,30,2133,0
2021-01-09,90,2133,0
2021-01-09,120,2133,0
2021-01-09,180,2133,0
2021-01-09,270,2133,0
2021-01-10,-1,2298,0
2021-01-10,30,2298,0
2021-01-10,90,2298,0
2021-01-10,120,2298,0
2021-01-10,180,2298,0
2021-01-10,270,2298,0
2021-01-11,-1,2606,0
2021-01-11,30,2606,0
2021-01-11,90,2606,0
2021-01-11,120,2606,0
2021-01-11,180,2606,0
2021-01-11,270,2606,0
2021-01-12,-1,2889,0
2021-01-12,30,2889,0
2021-01-12,90,2889,0
2021-01-12,120,2889,0
2021-01-12,180,2889,0
2021-01-12,270,2889,0
2021-01-13,-1,3306,0
2021-01-13,30,3306,0
2021-01-13,90,3306,0
2021-01-13,120,3306,0
2021-01-13,180,3306,0
2021-01-13,270,3306,0
2021-01-14,-1,3810,0
2021-01-14,30,3810,0
2021-01-14,90,3810,0
2021-01-14,120,3810,0
2021-01-14,180,3810,0
2021-01-14,270,3810,0
2021-01-15,-1,4129,0
2021-01-15,30,4129,0
2021-01-15,90,4129,0
2021-01-15,120,4129,0
2021-01-15,180,4129,0
2021-01-15,270,4129,0
2021-01-16,-1,4353,0
2021-01-16,30,4353,0
2021-01-16,90,4353,0
2021-01-16,120,4353,0
2021-01-16,180,4353,0
2021-01-16,270,4353,0
2021-01-17,-1,7417,0
2021-01-17,30,7417,0
2021-01-17,90,7417,0
2021-01-17,120,7417,0
2021-01-17,180,7417,0
2021-01-17,270,7417,0
2021-01-18,-1,12637,0
2021-01-18,30,12637,0
2021-01-18,90,12637,0
2021-01-18,120,12637,0
2021-01-18,180,12637,0
2021-01-18,270,12637,0
2021-01-19,-1,14532,0
2021-01-19,30,14532,0
2021-01-19,90,14532,0
2021-01-19,120,14532,0
2021-01-19,180,14532,0
2021-01-19,270,14532,0
2021-01-20,-1,19191,0
2021-01-20,30,19191,0
2021-01-20,90,19191,0
2021-01-20,120,19191,0
2021-01-20,180,19191,0
2021-01-20,270,19191,0
2021-01-21,-1,39196,0
2021-01-21,30,39196,0
2021-01-21,90,39196,0
2021-01-21,120,39196,0
2021-01-21,180,39196,0
2021-01-21,270,39196,0
2021-01-22,-1,53416,0
2021-01-22,30,53416,0
2021-01-22,90,53416,0
2021-01-22,120,53416,0
2021-01-22,180,53416,0
2021-01-22,270,53416,0
2021-01-23,-1,86740,0
2021-01-23,30,86740,0
2021-01-23,90,86740,0
2021-01-23,120,86740,0
2021-01-23,180,86740,0
2021-01-23,270,86740,0
2021-01-24,-1,117514,0
2021-01-24,30,117514,0
2021-01-24,90,117514,0
2021-01-24,120,117514,0
2021-01-24,180,117514,0
2021-01-24,270,117514,0
2021-01-25,-1,182218,0
2021-01-25,30,182218,0
2021-01-25,90,182218,0
2021-01-25,120,182218,0
2021-01-25,180,182218,0
2021-01-25,270,182218,0
2021-01-26,-1,258683,0
2021-01-26,30,258663,0
2021-01-26,90,258683,0
2021-01-26,120,258683,0
2021-01-26,180,258683,0
2021-01-26,270,258683,0
2021-01-27,-1,323493,0
2021-01-27,30,323471,0
2021-01-27,90,323493,0
2021-01-27,120,323493,0
2021-01-27,180,323493,0
2021-01-27,270,323493,0
2021-01-28,-1,412748,0
2021-01-28,30,412725,0
2021-01-28,90,412748,0
2021-01-28,120,412748,0
2021-01-28,180,412748,0
2021-01-28,270,412748,0
2021-01-29,-1,506744,0
2021-01-29,30,506711,0
2021-01-29,90,506744,0
2021-01-29,120,506744,0
2021-01-29,180,506744,0
2021-01-29,270,506744,0
2021-01-30,-1,593287,0
2021-01-30,30,593177,0
2021-01-30,90,593287,0
2021-01-30,120,593287,0
2021-01-30,180,593287,0
2021-01-30,270,593287,0
2021-01-31,-1,650612,0
2021-01-31,30,650477,0
2021-01-31,90,650612,0
2021-01-31,120,650612,0
2021-01-31,180,650612,0
2021-01-31,270,650612,0
2021-02-01,-1,732447,0
2021-02-01,30,732169,0
2021-02-01,90,732447,0
2021-02-01,120,732447,0
2021-02-01,180,732447,0
2021-02-01,270,732447,0
2021-02-02,-1,814582,0
2021-02-02,30,814197,0
2021-02-02,90,814582,0
2021-02-02,120,814582,0
2021-02-02,180,814582,0
2021-02-02,270,814582,0
2021-02-03,-1,905689,0
2021-02-03,30,905068,0
2021-02-03,90,905689,0
2021-02-03,120,905689,0
2021-02-03,180,905689,0
2021-02-03,270,905689,0
2021-02-04,-1,1001073,0
2021-02-04,30,1000172,0
2021-02-04,90,1001073,0
2021-02-04,120,1001073,0
2021-02-04,180,1001073,0
2021-02-04,270,1001073,0
2021-02-05,-1,1091340,0
2021-02-05,30,1090190,0
2021-02-05,90,1091340,0
2021-02-05,120,1091340,0
2021-02-05,180,1091340,0
2021-02-05,270,1091340,0
2021-02-06,-1,1154789,0
2021-02-06,30,1153316,0
2021-02-06,90,1154789,0
2021-02-06,120,1154789,0
2021-02-06,180,1154789,0
2021-02-06,270,1154789,0
2021-02-07,-1,1187723,0
2021-02-07,30,1185872,0
2021-02-07,90,1187723,0
2021-02-07,120,1187723,0
2021-02-07,180,1187723,0
2021-02-07,270,1187723,0
2021-02-08,-1,1228144,0
2021-02-08,30,1226011,0
2021-02-08,90,1228144,0
2021-02-08,120,1228144,0
2021-02-08,180,1228144,0
2021-02-08,270,1228144,0
2021-02-09,-1,1261025,0
2021-02-09,30,1258727,0
2021-02-09,90,1261025,0
2021-02-09,120,1261025,0
2021-02-09,180,1261025,0
2021-02-09,270,1261025,0
2021-02-10,-1,1289460,0
2021-02-10,30,1286854,0
2021-02-10,90,1289460,0
2021-02-10,120,1289460,0
2021-02-10,180,1289460,0
2021-02-10,270,1289460,0
2021-02-11,-1,1309865,0
2021-02-11,30,1306976,0
2021-02-11,90,1309865,0
2021-02-11,120,1309865,0
2021-02-11,180,1309865,0
2021-02-11,270,1309865,0
2021-02-12,-1,1326116,0
2021-02-12,30,1322810,0
2021-02-12,90,1326116,0
2021-02-12,120,1326116,0
2021-02-12,180,1326116,0
2021-02-12,270,1326116,0
2021-02-13,-1,1333395,0
2021-02-13,30,1329585,0
2021-02-13,90,1333395,0
2021-02-13,120,1333395,0
2021-02-13,180,1333395,0
2021-02-13,270,1333395,0
2021-02-14,-1,1336257,0
2021-02-14,30,1332128,0
2021-02-14,90,1336257,0
2021-02-14,120,1336257,0
2021-02-14,180,1336257,0
2021-02-14,270,1336257,0
2021-02-15,-1,1343104,0
2021-02-15,30,1338751,0
2021-02-15,90,1343104,0
2021-02-15,120,1343104,0
2021-02-15,180,1343104,0
2021-02-15,270,1343104,0
2021-02-16,-1,1350108,0
2021-02-16,30,1342691,0
2021-02-16,90,1350108,0
2021-02-16,120,1350108,0
2021-02-16,180,1350108,0
2021-02-16,270,1350108,0
2021-02-17,-1,1360634,0
2021-02-17,30,1347997,0
2021-02-17,90,1360634,0
2021-02-17,120,1360634,0
2021-02-17,180,1360634,0
2021-02-17,270,1360634,0
2021-02-18,-1,1369890,0
2021-02-18,30,1355358,0
2021-02-18,90,1369890,0
2021-02-18,120,1369890,0
2021-02-18,180,1369890,0
2021-02-18,270,1369890,0
2021-02-19,-1,1378148,0
2021-02-19,30,1358957,0
2021-02-19,90,1378148,0
2021-02-19,120,1378148,0
2021-02-19,180,1378148,0
2021-02-19,270,1378148,0
2021-02-20,-1,1383725,0
2021-02-20,30,1344529,0
2021-02-20,90,1383725,0
2021-02-20,120,1383725,0
2021-02-20,180,1383725,0
2021-02-20,270,1383725,0
2021-02-21,-1,1386739,0
2021-02-21,30,1333323,0
2021-02-21,90,1386739,0
2021-02-21,120,1386739,0
2021-02-21,180,1386739,0
2021-02-21,270,1386739,0
2021-02-22,-1,1393622,0
2021-02-22,30,1306882,0
2021-02-22,90,1393622,0
2021-02-22,120,1393622,0
2021-02-22,180,1393622,0
2021-02-22,270,1393622,0
2021-02-23,-1,1400809,0
2021-02-23,30,1283295,0
2021-02-23,90,1400809,0
2021-02-23,120,1400809,0
2021-02-23,180,1400809,0
2021-02-23,270,1400809,0
2021-02-24,-1,1410621,0
2021-02-24,30,1228403,0
2021-02-24,90,1410621,0
2021-02-24,120,1410621,0
2021-02-24,180,1410621,0
2021-02-24,270,1410621,0
2021-02-25,-1,1424833,0
2021-02-25,30,1166150,0
2021-02-25,90,1424833,0
2021-02-25,120,1424833,0
2021-02-25,180,1424833,0
2021-02-25,270,1424833,0
2021-02-26,-1,1442392,0
2021-02-26,30,1118899,0
2021-02-26,90,1442392,0
2021-02-26,120,1442392,0
2021-02-26,180,1442392,0
2021-02-26,270,1442392,0
2021-02-27,-1,1456312,0
2021-02-27,30,1043564,0
2021-02-27,90,1456312,0
2021-02-27,120,1456312,0
2021-02-27,180,1456312,0
2021-02-27,270,1456312,0
2021-02-28,-1,1465708,0
2021-02-28,30,958964,0
2021-02-28,90,1465708,0
2021-02-28,120,1465708,0
2021-02-28,180,1465708,0
2021-02-28,270,1465708,0
2021-03-01,-1,1492235,0
2021-03-01,30,898948,0
2021-03-01,90,1492235,0
2021-03-01,120,1492235,0
2021-03-01,180,1492235,0
2021-03-01,270,1492235,0
2021-03-02,-1,1525482,0
2021-03-02,30,874870,0
2021-03-02,90,1525482,0
2021-03-02,120,1525482,0
2021-03-02,180,1525482,0
2021-03-02,270,1525482,0
2021-03-03,-1,1570132,0
2021-03-03,30,837685,0
2021-03-03,90,1570132,0
2021-03-03,120,1570132,0
2021-03-03,180,1570132,0
2021-03-03,270,1570132,0
2021-03-04,-1,1620435,0
2021-03-04,30,805853,0
2021-03-04,90,1620435,0
2021-03-04,120,1620435,0
2021-03-04,180,1620435,0
2021-03-04,270,1620435,0
2021-03-05,-1,1676178,0
2021-03-05,30,770489,0
2021-03-05,90,1676178,0
2021-03-05,120,1676178,0
2021-03-05,180,1676178,0
2021-03-05,270,1676178,0
2021-03-06,-1,1718059,0
2021-03-06,30,716986,0
2021-03-06,90,1718059,0
2021-03-06,120,1718059,0
2021-03-06,180,1718059,0
2021-03-06,270,1718059,0
2021-03-07,-1,1740390,0
2021-03-07,30,649050,0
2021-03-07,90,1740390,0
2021-03-07,120,1740390,0
2021-03-07,180,1740390,0
2021-03-07,270,1740390,0
2021-03-08,-1,1791227,0
2021-03-08,30,636438,0
2021-03-08,90,1791227,0
2021-03-08,120,1791227,0
2021-03-08,180,1791227,0
2021-03-08,270,1791227,0
2021-03-09,-1,1844319,0
2021-03-09,30,656596,0
2021-03-09,90,1844319,0
2021-03-09,120,1844319,0
2021-03-09,180,1844319,0
2021-03-09,270,1844319,0
2021-03-10,-1,1903007,0
2021-03-10,30,674863,0
2021-03-10,90,1903007,0
2021-03-10,120,1903007,0
2021-03-10,180,1903007,0
2021-03-10,270,1903007,0
2021-03-11,-1,1966894,0
2021-03-11,30,705869,0
2021-03-11,90,1966894,0
2021-03-11,120,1966894,0
2021-03-11,180,1966894,0
2021-03-11,270,1966894,0
2021-03-12,-1,2032031,0
2021-03-12,30,742571,0
2021-03-12,90,2032031,0
2021-03-12,120,2032031,0
2021-03-12,180,2032031,0
2021-03-12,270,2032031,0
2021-03-13,-1,2083761,0
2021-03-13,30,773896,0
2021-03-13,90,2083761,0
2021-03-13,120,2083761,0
2021-03-13,180,2083761,0
2021-03-13,270,2083761,0
2021-03-14,-1,2119184,0
2021-03-14,30,793068,0
2021-03-14,90,2119184,0
2021-03-14,120,2119184,0
2021-03-14,180,2119184,0
2021-03-14,270,2119184,0
2021-03-15,-1,2192643,0
2021-03-15,30,859248,0
2021-03-15,90,2192643,0
2021-03-15,120,2192643,0
2021-03-15,180,2192643,0
2021-03-15,270,2192643,0
2021-03-16,-1,2266674,0
2021-03-16,30,930417,0
2021-03-16,90,2266674,0
2021-03-16,120,2266674,0
2021-03-16,180,2266674,0
2021-03-16,270,2266674,0
2021-03-17,-1,2349815,0
2021-03-17,30,1006711,0
2021-03-17,90,2349815,0
2021-03-17,120,2349815,0
2021-03-17,180,2349815,0
2021-03-17,270,2349815,0
2021-03-18,-1,2431445,0
2021-03-18,30,1081337,0
2021-03-18,90,2431445,0
2021-03-18,120,2431445,0
2021-03-18,180,2431445,0
2021-03-18,270,2431445,0
2021-03-19,-1,2512534,0
2021-03-19,30,1151900,0
2021-03-19,90,2512534,0
2021-03-19,120,2512534,0
2021-03-19,180,2512534,0
2021-03-19,270,2512534,0
2021-03-20,-1,2577272,0
2021-03-20,30,1207382,0
2021-03-20,90,2577272,0
2021-03-20,120,2577272,0
2021-03-20,180,2577272,0
2021-03-20,270,2577272,0
2021-03-21,-1,2624581,0
2021-03-21,30,1246433,0
2021-03-21,90,2624581,0
2021-03-21,120,2624581,0
2021-03-21,180,2624581,0
2021-03-21,270,2624581,0
2021-03-22,-1,2694082,0
2021-03-22,30,1310357,0
2021-03-22,90,2694082,0
2021-03-22,120,2694082,0
2021-03-22,180,2694082,0
2021-03-22,270,2694082,0
2021-03-23,-1,2769896,0
2021-03-23,30,1383157,0
2021-03-23,90,2769896,0
2021-03-23,120,2769896,0
2021-03-23,180,2769896,0
2021-03-23,270,2769896,0
2021-03-24,-1,2860819,0
2021-03-24,30,1467197,0
2021-03-24,90,2860819,0
2021-03-24,120,2860819,0
2021-03-24,180,2860819,0
2021-03-24,270,2860819,0
2021-03-25,-1,2950641,0
2021-03-25,30,1549832,0
2021-03-25,90,2950641,0
2021-03-25,120,2950641,0
2021-03-25,180,2950641,0
2021-03-25,270,2950641,0
2021-03-26,-1,3034281,0
2021-03-26,30,1623660,0
2021-03-26,90,3034281,0
2021-03-26,120,3034281,0
2021-03-26,180,3034281,0
2021-03-26,270,3034281,0
2021-03-27,-1,3106238,0
2021-03-27,30,1681405,0
2021-03-27,90,3106218,0
2021-03-27,120,3106238,0
2021-03-27,180,3106238,0
2021-03-27,270,3106238,0
2021-03-28,-1,3150422,0
2021-03-28,30,1708030,0
2021-03-28,90,3150400,0
2021-03-28,120,3150422,0
2021-03-28,180,3150422,0
2021-03-28,270,3150422,0
2021-03-29,-1,3221270,0
2021-03-29,30,1764958,0
2021-03-29,90,3221247,0
2021-03-29,120,3221270,0
2021-03-29,180,3221270,0
2021-03-29,270,3221270,0
2021-03-30,-1,3302677,0
2021-03-30,30,1836969,0
2021-03-30,90,3302644,0
2021-03-30,120,3302677,0
2021-03-30,180,3302677,0
2021-03-30,270,3302677,0
2021-03-31,-1,3398936,0
2021-03-31,30,1906701,0
2021-03-31,90,3398826,0
2021-03-31,120,3398936,0
2021-03-31,180,3398936,0
2021-03-31,270,3398936,0
2021-04-01,-1,3494265,0
2021-04-01,30,1968783,0
2021-04-01,90,3494130,0
2021-04-01,120,3494265,0
2021-04-01,180,3494265,0
2021-04-01,270,3494265,0
2021-04-02,-1,3578350,0
2021-04-02,30,2008218,0
2021-04-02,90,3578072,0
2021-04-02,120,3578350,0
2021-04-02,180,3578350,0
2021-04-02,270,3578350,0
2021-04-03,-1,3642654,0
2021-04-03,30,2022219,0
2021-04-03,90,3642269,0
2021-04-03,120,3642654,0
2021-04-03,180,3642654,0
2021-04-03,270,3642654,0
2021-04-04,-1,3664378,0
2021-04-04,30,1988200,0
2021-04-04,90,3663757,0
2021-04-04,120,3664378,0
2021-04-04,180,3664378,0
2021-04-04,270,3664378,0
2021-04-05,-1,3704696,0
2021-04-05,30,1986637,0
2021-04-05,90,3703795,0
2021-04-05,120,3704696,0
2021-04-05,180,3704696,0
2021-04-05,270,3704696,0
2021-04-06,-1,3786032,0
2021-04-06,30,2045642,0
2021-04-06,90,3784882,0
2021-04-06,120,3786032,0
2021-04-06,180,3786032,0
2021-04-06,270,3786032,0
2021-04-07,-1,3881874,0
2021-04-07,30,2090647,0
2021-04-07,90,3880401,0
2021-04-07,120,3881874,0
2021-04-07,180,3881874,0
2021-04-07,270,3881874,0
2021-04-08,-1,3977133,0
2021-04-08,30,2132814,0
2021-04-08,90,3975282,0
2021-04-08,120,3977133,0
2021-04-08,180,3977133,0
2021-04-08,270,3977133,0
2021-04-09,-1,4065634,0
2021-04-09,30,2162627,0
2021-04-09,90,4063501,0
2021-04-09,120,4065634,0
2021-04-09,180,4065634,0
2021-04-09,270,4065634,0
2021-04-10,-1,4139669,0
2021-04-10,30,2172775,0
2021-04-10,90,4137371,0
2021-04-10,120,4139669,0
2021-04-10,180,4139669,0
2021-04-10,270,4139669,0
2021-04-11,-1,4184438,0
2021-04-11,30,2152407,0
2021-04-11,90,4181832,0
2021-04-11,120,4184438,0
2021-04-11,180,4184438,0
2021-04-11,270,4184438,0
2021-04-12,-1,4251360,0
2021-04-12,30,2167599,0
2021-04-12,90,4248471,0
2021-04-12,120,4251360,0
2021-04-12,180,4251360,0
2021-04-12,270,4251360,0
2021-04-13,-1,4323954,0
2021-04-13,30,2204770,0
2021-04-13,90,4320648,0
2021-04-13,120,4323954,0
2021-04-13,180,4323954,0
2021-04-13,270,4323954,0
2021-04-14,-1,4409503,0
2021-04-14,30,2216860,0
2021-04-14,90,4405693,0
2021-04-14,120,4409503,0
2021-04-14,180,4409503,0
2021-04-14,270,4409503,0
2021-04-15,-1,4514927,0
2021-04-15,30,2248253,0
2021-04-15,90,4510798,0
2021-04-15,120,4514927,0
2021-04-15,180,4514927,0
2021-04-15,270,4514927,0
2021-04-16,-1,4621358,0
2021-04-16,30,2271543,0
2021-04-16,90,4617005,0
2021-04-16,120,4621358,0
2021-04-16,180,4621358,0
2021-04-16,270,4621358,0
2021-04-17,-1,4711886,0
2021-04-17,30,2280441,0
2021-04-17,90,4704469,0
2021-04-17,120,4711886,0
2021-04-17,180,4711886,0
2021-04-17,270,4711886,0
2021-04-18,-1,4770482,0
2021-04-18,30,2257948,0
2021-04-18,90,4757845,0
2021-04-18,120,4770482,0
2021-04-18,180,4770482,0
2021-04-18,270,4770482,0
2021-04-19,-1,4863918,0
2021-04-19,30,2286646,0
2021-04-19,90,4849386,0
2021-04-19,120,4863918,0
2021-04-19,180,4863918,0
2021-04-19,270,4863918,0
2021-04-20,-1,4967694,0
2021-04-20,30,2343113,0
2021-04-20,90,4948503,0
2021-04-20,120,4967694,0
2021-04-20,180,4967694,0
2021-04-20,270,4967694,0
2021-04-21,-1,5093036,0
2021-04-21,30,2398954,0
2021-04-21,90,5053840,0
2021-04-21,120,5093036,0
2021-04-21,180,5093036,0
2021-04-21,270,5093036,0
2021-04-22,-1,5236561,0
2021-04-22,30,2466665,0
2021-04-22,90,5183145,0
2021-04-22,120,5236561,0
2021-04-22,180,5236561,0
2021-04-22,270,5236561,0
2021-04-23,-1,5375311,0
2021-04-23,30,2514492,0
2021-04-23,90,5288571,0
2021-04-23,120,5375311,0
2021-04-23,180,5375311,0
2021-04-23,270,5375311,0
2021-04-24,-1,5499765,0
2021-04-24,30,2549124,0
2021-04-24,90,5382251,0
2021-04-24,120,5499765,0
2021-04-24,180,5499765,0
2021-04-24,270,5499765,0
2021-04-25,-1,5561237,0
2021-04-25,30,2526956,0
2021-04-25,90,5379019,0
2021-04-25,120,5561237,0
2021-04-25,180,5561237,0
2021-04-25,270,5561237,0
2021-04-26,-1,5659146,0
2021-04-26,30,2552908,0
2021-04-26,90,5400463,0
2021-04-26,120,5659126,0
2021-04-26,180,5659146,0
2021-04-26,270,5659146,0
2021-04-27,-1,5787520,0
2021-04-27,30,2637098,0
2021-04-27,90,5464027,0
2021-04-27,120,5787498,0
2021-04-27,180,5787520,0
2021-04-27,270,5787520,0
2021-04-28,-1,5943912,0
2021-04-28,30,2722642,0
2021-04-28,90,5531164,0
2021-04-28,120,5943889,0
2021-04-28,180,5943912,0
2021-04-28,270,5943912,0
