area,fascia_anagrafica,cum_vaccinazioni,cum_booster
ABR,05-11,25563,0
ABR,12-19,80175,43664
ABR,20-29,115258,84651
ABR,30-39,125415,94456
ABR,40-49,158995,129043
ABR,50-59,185222,163159
ABR,60-69,158363,146689
ABR,70-79,127053,120169
ABR,80-89,80048,75497
ABR,90+,19742,16972
BAS,05-11,13124,0
BAS,12-19,35842,20471
BAS,20-29,48444,35753
BAS,30-39,51767,39198
BAS,40-49,65449,54033
BAS,50-59,79763,70231
BAS,60-69,70552,64918
BAS,70-79,51293,48176
BAS,80-89,33825,31196
BAS,90+,8184,6772
CAL,05-11,46985,0
CAL,12-19,123153,57848
CAL,20-29,172553,118701
CAL,30-39,188287,129111
CAL,40-49,222117,167550
CAL,50-59,254163,208730
CAL,60-69,228432,201165
CAL,70-79,169103,152145
CAL,80-89,97024,86220
CAL,90+,20833,17363
CAM,05-11,118919,0
CAM,12-19,408635,213532
CAM,20-29,588972,411384
CAM,30-39,606243,422200
CAM,40-49,715802,551305
CAM,50-59,802509,673650
CAM,60-69,645955,565098
CAM,70-79,466891,424887
CAM,80-89,239644,216985
CAM,90+,45603,38181
EMR,05-11,93161,0
EMR,12-19,280976,160525
EMR,20-29,411169,302492
EMR,30-39,448455,332650
EMR,40-49,582433,460816
EMR,50-59,655915,580811
EMR,60-69,515901,497170
EMR,70-79,432048,418967
EMR,80-89,295791,285297
EMR,90+,76093,65973
FVG,05-11,16660,0
FVG,12-19,68013,36141
FVG,20-29,104589,75391
FVG,30-39,107744,78254
FVG,40-49,141155,112044
FVG,50-59,172198,148846
FVG,60-69,140202,139352
FVG,70-79,127820,124412
FVG,80-89,84357,79642
FVG,90+,20745,17470
LAZ,05-11,136707,0
LAZ,12-19,372879,201403
LAZ,20-29,531707,393732
LAZ,30-39,614970,459999
LAZ,40-49,789263,641009
LAZ,50-59,887193,783358
LAZ,60-69,682286,639956
LAZ,70-79,533290,510497
LAZ,80-89,336023,314564
LAZ,90+,74670,64634
LIG,05-11,21972,0
LIG,12-19,85380,41173
LIG,20-29,130030,91298
LIG,30-39,132393,95506
LIG,40-49,172909,128606
LIG,50-59,228487,192834
LIG,60-69,187907,168955
LIG,70-79,169375,160080
LIG,80-89,121901,113358
LIG,90+,30837,26521
LOM,05-11,259610,0
LOM,12-19,679060,439489
LOM,20-29,959754,789132
LOM,30-39,1055646,862959
LOM,40-49,1326041,1129247
LOM,50-59,1503212,1389996
LOM,60-69,1132278,1088077
LOM,70-79,936289,905919
LOM,80-89,612859,591010
LOM,90+,135877,119421
MAR,05-11,18469,0
MAR,12-19,89550,44041
MAR,20-29,128825,93396
MAR,30-39,136882,99582
MAR,40-49,182291,143106
MAR,50-59,210773,182234
MAR,60-69,179741,166345
MAR,70-79,149355,141207
MAR,80-89,103778,97691
MAR,90+,26072,22602
MOL,05-11,7325,0
MOL,12-19,18196,10700
MOL,20-29,25978,18674
MOL,30-39,27468,21156
MOL,40-49,36186,29640
MOL,50-59,44125,38967
MOL,60-69,39723,36334
MOL,70-79,30420,27942
MOL,80-89,20067,18613
MOL,90+,5435,4631
PAB,05-11,7203,0
PAB,12-19,35203,14527
PAB,20-29,53029,35121
PAB,30-39,53800,37181
PAB,40-49,62686,47855
PAB,50-59,74880,61619
PAB,60-69,54435,48156
PAB,70-79,42498,38650
PAB,80-89,27077,24712
PAB,90+,6161,5126
PAT,05-11,11506,0
PAT,12-19,37046,19714
PAT,20-29,55474,40795
PAT,30-39,53965,39806
PAT,40-49,64781,50963
PAT,50-59,77398,68593
PAT,60-69,63575,58929
PAT,70-79,50771,47716
PAT,80-89,30941,29273
PAT,90+,8326,7334
PIE,05-11,73338,0
PIE,12-19,256081,158522
PIE,20-29,380174,300436
PIE,30-39,394557,311214
PIE,40-49,512695,423693
PIE,50-59,622506,560493
PIE,60-69,512936,487284
PIE,70-79,445022,429233
PIE,80-89,302472,291268
PIE,90+,69158,61786
PUG,05-11,118684,0
PUG,12-19,282345,161796
PUG,20-29,381143,278994
PUG,30-39,401698,302792
PUG,40-49,517848,426856
PUG,50-59,578212,514651
PUG,60-69,484638,453083
PUG,70-79,391504,373476
PUG,80-89,222268,208407
PUG,90+,49023,42237
SAR,05-11,34965,0
SAR,12-19,95879,51368
SAR,20-29,128661,89790
SAR,30-39,151462,107632
SAR,40-49,210204,165573
SAR,50-59,241912,204926
SAR,60-69,213071,189125
SAR,70-79,166474,152416
SAR,80-89,94608,87488
SAR,90+,21077,17852
SIC,05-11,83984,0
SIC,12-19,321741,149029
SIC,20-29,452980,301826
SIC,30-39,479822,315129
SIC,40-49,582442,422199
SIC,50-59,662611,529209
SIC,60-69,567212,484449
SIC,70-79,432878,380782
SIC,80-89,242832,216099
SIC,90+,50453,42379
TOS,05-11,83177,0
TOS,12-19,234877,128530
TOS,20-29,328174,235156
TOS,30-39,365680,264229
TOS,40-49,484283,370239
TOS,50-59,554931,481605
TOS,60-69,442646,420447
TOS,70-79,388502,376355
TOS,80-89,263167,253827
TOS,90+,66123,57483
UMB,05-11,17910,0
UMB,12-19,54213,28037
UMB,20-29,72298,52108
UMB,30-39,81824,60898
UMB,40-49,108261,87745
UMB,50-59,124419,109611
UMB,60-69,106294,100673
UMB,70-79,92400,88477
UMB,80-89,64709,61778
UMB,90+,16918,14529
VDA,05-11,1841,0
VDA,12-19,7545,4266
VDA,20-29,10415,8225
VDA,30-39,10744,8396
VDA,40-49,14111,11769
VDA,50-59,17925,16761
VDA,60-69,14136,13643
VDA,70-79,11829,12213
VDA,80-89,7437,8113
VDA,90+,1740,1911
VEN,05-11,97494,0
VEN,12-19,309457,167159
VEN,20-29,444171,324933
VEN,30-39,456763,330356
VEN,40-49,604333,479818
VEN,50-59,725762,631589
VEN,60-69,568835,536521
VEN,70-79,469367,450398
VEN,80-89,298160,283089
VEN,90+,69884,61284
